% Asian-alone,% Black-alone,30-39,80+,Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Asian-alone pop,Bachelor's degree or higher 2014-18,CI90LBINC_2018,CI90UBINC_2018,CKD_Lower 95% CI,CKD_Upper 95% CI,CKD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,COPD_prevalence,Civilian_labor_force_2018,Employed_2018,Family Medicine/General Practice Primary Care (2019),Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,Heart disease_prevalence,MEDHHINC_2018,Med_HH_Income_Percent_of_State_Total_2018,Median_Household_Income_2018,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_prevalence,PCTPOV017_2018,PCTPOV517_2018,PCTPOVALL_2018,Percent of Population Aged 60+,Percent of adults with a bachelor's degree or higher 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with less than a high school diploma 2014-18,R_death_2018,STATE_FIPS,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Total Specialist Physicians (2019),Unemployment_rate_2018,White-alone pop,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_prevalence,diabetes_Lower 95% CI,diabetes_Upper 95% CI,fips,diabetes_prevalence
-0.0116386672829531,3.5791393813806214,-0.233255983171082,-0.281323841680223,-0.4677508811833108,-0.772818121978237,-0.6148810496505601,-0.6966962693451492,-0.1317554407486198,-0.2520140561895853,-1.4059777781539573,-1.437311558174233,1.9175565231684235,1.6436691404013242,1.712652054716822,1.0494338391796003,0.6814546834022834,0.8651747287922745,-0.2596061389226305,-0.2609122357523326,-0.2818157628867603,0.6922842387684297,0.4525020197075593,0.5780771162010431,-1.4273522719533422,-1.6428105635988328,-1.4273522719533422,0.7056018259912044,0.6212026366318533,0.6482108373553455,2.0444325315068514,2.1516493101291765,2.5090151013705126,-0.5980889866603503,-1.381530243527679,-0.024509649993841,2.221696249216657,1.102689755543437,-1.1697082348776264,-0.7339264523189414,-0.2632086091028564,1.4292154084294684,-0.2951681051745508,1.297752964903288,1.1842931882903267,1.256472001129707,2.411375778195647,2.249946600704212,-1.16228911796255,2.364658711788313
-0.1629903130730163,-0.5067085854485767,-0.1769404479907335,-0.1022794883921254,-0.5438738218645572,-0.2015858950614675,-0.8624200185065457,-0.2451212573106922,-0.1257627911547929,-0.1808720827627742,-0.0272811496630058,-0.0811054389712162,-0.3861315139570764,-0.3363910216094243,-0.4266219837000606,-0.7868830062656236,-0.7454611378694819,-0.7693246955058862,-0.1588415793558387,-0.1575487912662161,-0.1096508158894345,-0.4388602901253568,-0.3897988869285194,-0.4571396051757772,-0.0550670347787415,-0.1443225811045612,-0.0550670347787415,0.2935937582857866,0.2869491044689098,0.2864857182980024,-0.8734936851360817,-0.8610610198985904,-0.7731172872917358,0.573095415966219,0.1211848218881712,-0.4890466117532538,-1.0320661987933772,0.4975748580158705,-0.7696223308507018,-1.0443159709715033,-0.1960341098336897,-1.0509582140585123,-0.1573474722069083,-0.1848068455718105,-0.1342993520510613,-0.1588025728084962,-0.8691937784187077,-0.7934318864996218,-0.7733561672378889,-0.8311166404861261
-0.3551225446909176,-0.1942943352218854,0.0962095621873116,0.4411127827869433,0.8263391103978834,0.7790294278123197,1.5493167923474855,1.0224577238386596,-0.1149178842405913,0.0730752457730152,0.2000266233610968,0.1060829030438071,-0.3861315139570764,-0.3363910216094243,-0.4266219837000606,-0.4002899861718923,-0.3212429207346328,-0.3391932680590014,0.1709022605062122,0.1682711312790918,0.3285015886857699,-0.4388602901253568,-0.3897988869285194,-0.3996275650992868,0.1524559385321256,0.0282007063536608,0.1524559385321256,-0.3244183432723417,-0.2478565469917993,-0.2787097802290956,-0.5355099534785991,-0.4715851597429096,-0.6424851524196067,0.463296878219978,0.2277603584424868,0.5526423327981567,-1.0320661987933772,0.8757716689705992,0.7640403012525098,1.4958104980015017,0.298755795064217,0.2580223089212551,0.2640361748151479,-0.4239293956484394,-0.372599208739264,-0.3973319953823506,-0.5990292266975259,-0.578605169755822,0.7566687659724477,-0.5709953908823928
-0.3691401324056668,-0.284176199322025,-0.1587366900275481,-0.2016541272909142,0.5218473476728975,-0.677612750825442,-0.5630157418902579,-0.839298904724451,-0.1306150484751677,-0.2006970103462665,0.1414353248163976,0.2708170381130822,-0.7700795201446601,-0.8314060621121111,-0.7831676567695414,0.6145166915741523,0.527193513535066,0.5640827295794557,-0.1620272742158434,-0.1630128133932554,-0.1766432168638281,0.0010292488888934,-0.0739360469399894,-0.0545553246403469,0.2085101674534728,1.0534819575339518,0.2085101674534728,0.3851511066647681,0.4206505173340875,0.4221326379445063,-0.5242438290900165,-0.6090472280331499,-0.479194983829445,-0.8359858184438715,-0.4649806291605647,0.6230267209435223,-0.406959127500809,-0.4857368504664239,-0.6362603628417268,-0.3633593739276181,-0.1771711075151702,0.1202348854497005,-0.1499863163168053,0.8354493680884724,0.8665600460393897,0.8589229635066165,-0.0587001232551613,-0.077342830686955,-0.6304366274681761,-0.0879130701897446
0.0033380176398607,3.1692009441886677,-0.0014951757694152,-0.0438601827875497,-0.2393820591395706,0.1601945153191528,0.1984612765905354,0.1906090174593974,-0.1037375678341978,-0.1044543079743538,-0.3219284828714805,-0.4437303885249835,0.189790495324298,-0.1713860081085284,-0.0700763106305807,-0.4002899861718923,-0.7068958454026776,-0.554258981782444,-0.0459746355679048,-0.0465017426076724,-0.0252257816268522,-0.7530671037069641,-0.9688807602408228,-0.8597238857112074,-0.3857797897498738,-1.1942500162074554,-0.3857797897498738,1.872958017823224,1.690813939553273,1.7786018344095416,0.9065539682599932,0.7655734548692531,0.6638361963016862,-0.854285574734912,-0.0280209292878705,-0.629815388043985,-0.1344765579630229,0.2328370903475607,1.364169157292897,0.1814059037074905,-0.0670853220073161,-0.017552538021854,-0.1661120417462273,1.0745719181651012,0.8983333602644838,0.986138655546005,0.4430340442270336,0.2807016972193784,1.404868151144216,0.3580090719880839
-0.3963202849382683,-0.5795312266678534,-0.2530703616947962,-0.291060392614319,-1.076734406633285,-1.28692712620333,-0.7068240952256399,-1.187883124540522,-0.135512027061168,-0.2473076695123787,0.7394782528730197,0.988442299971126,-0.7700795201446601,-0.666401048611216,-0.7831676567695414,-0.8835312612890566,-0.8225917228030906,-0.8123378382505745,-0.2687833280338195,-0.269303614811682,-0.2973534229158905,-0.501701652841678,-0.4424426935932741,-0.4571396051757772,0.8702954606365677,0.8612417229376477,0.8702954606365677,-0.5304223771250506,-0.381557959856977,-0.4595723397577663,-0.997421053410492,-1.0557989499764309,-1.0180525401769782,-0.2320938608395474,0.9418164533564016,-0.7705841643347161,-1.1122081310103733,0.421935495824925,1.1641262052794346,-0.8289436519064602,-0.2784159807432426,-0.9131707905869582,-0.2916615041281624,-0.4079878923099972,-0.2772792660639827,-0.349626110867579,-0.6762190986178633,-0.6144096225464551,1.160120104241283,-0.6453157479120307
0.4826255049739179,-0.5474864656912932,1.0170725035966008,0.7875330830849759,-1.381226169358272,-1.0584342354366216,-1.4659435997173291,-1.1086594382186876,0.1589775070832361,1.0474134950332203,1.149617342685914,0.881907230879616,-1.5379755325198263,-1.4914261161156943,-1.496259002908502,-1.5600690464530866,-1.555332279672376,-1.543561264910278,1.041774633240846,1.0644613552990625,1.3940209475849727,-1.632846181735464,-1.600606440217881,-1.6648924467820674,1.0162235431173023,1.526688688847933,1.0162235431173023,-2.247122659230961,-2.2979448775911857,-2.2681979350444803,-1.2227435411821472,-1.250536880054271,-0.887420405304849,-1.1104821628094736,1.7304754238583369,-1.5870430668209563,-1.352633927661361,-1.4690485589487183,-0.969665282864164,-1.4085485693903257,0.3491052161358577,-1.1198519257942898,1.3554937801149718,-2.161553259538609,-2.199564776682152,-2.194253645438719,-1.6410924976220858,-1.652738753474822,-0.9752816306963088,-1.648640567812146
-0.4806369276856331,-0.5586252958802278,-0.2515908381566361,-0.2891285372702523,2.272674983341572,-0.3634350260212191,-1.1052439593843215,-0.6412396889198647,-0.1357356333892959,-0.2482024640164402,0.6240600110722948,0.9938984624065412,-0.7700795201446601,-0.666401048611216,-0.604894820234801,-0.5935864962187581,-0.5140693830686552,-0.554258981782444,-0.2652231647831158,-0.2657760647752619,-0.277764196077048,-0.5645430155579992,-0.4424426935932741,-0.514651645252267,0.8166158011046999,0.6640722515568225,0.8166158011046999,-1.171323815777924,-1.0277814553720006,-1.0925912981081165,-0.9861549290219092,-0.8725161922561105,-1.1323556581900915,0.3717980967647772,0.0892121609218764,-0.74243040907657,-1.048094585236777,-0.4100974882754777,1.6975740773153345,-0.8384453718652124,-0.2785480831199932,-0.6375959436438489,-0.2858738726326351,-1.0934725358630006,-0.9921788361285908,-1.0334104555792951,-1.1007633941797217,-1.0440630560340556,1.689308670415625,-1.09123789008986
-0.1791463399743494,-0.2881682859889136,-0.125531687076182,-0.0554513148519497,-0.8483655845895446,-0.5348046940962496,-0.5653732558793625,-0.6016278457589475,-0.1207316487719159,-0.1649517130151866,-0.4600627990138767,-0.6218950772814351,-0.0021835077694928,-0.0063809946076326,0.1081965259041596,0.759489074109302,0.7585852683358928,0.7791484433028979,-0.1153109857066096,-0.115070973652694,-0.0852001208687965,0.0638706116052152,0.0839953730542746,0.0604687555126327,-0.5450198521413264,-0.4154306042531959,-0.5450198521413264,0.247815084096295,0.2646655356580466,0.2638778983569197,0.2531187537221936,0.1699044922782119,0.1413076568131691,0.1156015086902155,-0.3584050926062491,0.5244885775400101,-0.0222778528592287,1.102689755543437,-0.8363033148551892,-0.4457076135701343,-0.143735378489698,-0.36202109670074,-0.0828892257323844,0.0383742011663761,0.0404538761869542,0.0479229267555115,0.3272492363465274,0.388115055591278,-0.8303641476865722,0.3580090719880839
-0.0183051847336687,-0.3082134366933962,-0.2392115336158278,-0.2596097876129138,-0.2393820591395706,0.1601945153191528,0.1984612765905354,0.1906090174593974,-0.1313529493579897,-0.2234154941831524,1.9802611096326592,2.497001262563052,-0.3861315139570764,-0.3363910216094243,-0.4266219837000606,-0.4969382411953252,-0.2441123358010234,-0.3391932680590014,-0.244334341075862,-0.2445314937694054,-0.2673430918733878,-0.4388602901253568,-0.2318674669342544,-0.342115525022797,2.253446151684241,1.295014559975463,2.253446151684241,-1.0339877932094517,-0.9163636113176862,-0.9795521984026968,-1.4705982777309676,-1.4681851548471518,-1.409948944793366,0.1705007775633361,1.13365241915417,-0.7565072867056433,-0.326817195283813,-0.031900677320749,1.364169157292897,0.1814059037074905,-0.2562591180366606,-0.8442770788511809,-0.2627542758769544,-0.9021744958016972,-0.7697656365529353,-0.8266849560152877,-0.5218393547771883,-0.3995829058026552,1.3584492698676598,-0.4595148553379354
